scheduler,procs,cpu_mean,cpu_std,io_mean,io_std
FCFS,10,5000.0,0.0,9999.3388,57.205745928184506
FCFS,50,25000.0,0.0,49879.065599999994,291.34600541075173
FCFS,100,50000.0,0.0,99813.28,568.2439804291874
FCFS,200,100000.0,0.0,198982.166,474.41601051186115
MF,10,5000.0,0.0,10471.34,87.34466097020444
MF,50,25000.0,0.0,53589.33759999999,525.7635912430579
MF,100,50000.0,0.0,106258.46,853.182580928609
MF,200,100000.0,0.0,212312.526,1005.7052796818671
Padrao,10,5000.0,0.0,10263.323999999999,126.07529448706393
Padrao,50,25000.0,0.0,51777.5944,614.338041730118
Padrao,100,50000.0,0.0,103658.348,1299.7105392047854
Padrao,200,100000.0,0.0,209884.31600000002,8645.330720309667
RR,10,5000.0,0.0,10669.98,1099.0734078304329
RR,50,25000.0,0.0,50958.2656,239.45089104198183
RR,100,50000.0,0.0,101560.74399999999,330.4860842456104
RR,200,100000.0,0.0,202813.142,740.0737436701722
