scheduler,procs,cpu_mean,cpu_std,io_mean,io_std
Padrao,10,0.0,0.0,10263.324,115.09047267258924
Padrao,50,2.5332,6.007446467886012,51777.5944,553.1015910743995
Padrao,100,5.4672,7.841211164744926,103658.348,1175.3763555580056
Padrao,200,10.2333,9.09190596730061,209884.316,7766.255435350953
FCFS,10,0.0,0.0,9999.3388,52.5760802963981
FCFS,50,2.0002000000000004,5.438365704166837,49879.06560000001,264.5719836507703
FCFS,100,5.2662,7.763407081821247,99813.28,530.682870759241
FCFS,200,9.965549999999999,9.081915923481255,198982.166,736.2770199756941
RR,10,0.0,0.0,10669.98,1003.3214286392313
RR,50,3.4671999999999996,6.792882316166703,50958.2656,219.9141064377692
RR,100,7.0001,8.50924063561368,101560.744,342.373487413284
RR,200,12.100100000000001,9.539170511007555,202813.142,992.9474765658236
MF,10,0.0,0.0,10471.34,79.99613011473296
MF,50,1.0666,4.095376208643423,53589.33759999999,473.92984877374994
MF,100,5.666799999999999,7.911173073419033,106258.46,781.3196747404651
MF,200,10.76675,8.838903246937226,212312.526,1107.4330233139394
