scheduler,procs,cpu_mean,cpu_std,io_mean,io_std
Padrao,10,0.0,0.0,10263.323999999999,126.07529448706453
Padrao,50,2.5332,1.4458601937946833,51777.59440000001,614.3380417301198
Padrao,100,5.4672,1.2158286063421933,103658.348,1299.7105392047902
Padrao,200,10.2333,1.216783392802517,209884.31600000002,8645.330720309661
FCFS,10,0.0,0.0,9999.338800000001,57.20574592818442
FCFS,50,2.0002,1.054935874828418,49879.065599999994,291.34600541075076
FCFS,100,5.2662,1.7697081892221667,99813.28,568.2439804291864
FCFS,200,9.965549999999999,0.5942063614603934,198982.166,474.41601051187166
RR,10,0.0,0.0,10669.98,1099.073407830433
RR,50,3.4671999999999996,1.2827664245684014,50958.265600000006,239.45089104198377
RR,100,7.000099999999999,1.453148194438544,101560.74399999999,330.48608424561434
RR,200,12.100100000000001,2.0197333796815857,202813.142,740.073743670184
MF,10,0.0,0.0,10471.34,87.34466097020444
MF,50,1.0666,0.8940918856582919,53589.337600000006,525.7635912430593
MF,100,5.6668,0.6231865290585155,106258.46,853.1825809286078
MF,200,10.766749999999998,0.9020734449034623,212312.52599999998,1005.7052796818662
